RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
R209220|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||8.83|03/25/2003|10:16|0.3||||||WC|FO|RT|M. CLOUDY, S WIND 10-15, WARM.  H20 GRAY BROWN AND TURBID.  TIRES AND DEBRIS INCREEK.  MANY COWS JUST UPSTREAM OF STATION.
R211260|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||8.1|06/24/2003|12:15|0.3||||||WC|FO|RT|WATER TURBID, BROWNISH.  LOTS OF TRASH, TIRES, ETC. IN STREAM.
R212870|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||5.3|09/23/2003|10:27|0.304878||||||WC|FO|RT|M. SUNNY, WARM, LIGHT BREEZE. H20 VERY TURBID AND BROWN. H20 HIGH FROM RECENTRAINS.
R214567|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||11.5|12/11/2003|10:20|0.304878||||||WC|FO|RT|CLEAR, COLD. WATER MILKY GREEN. NO TRAFFIC.
R222458|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||9.5|12/06/2004|10:41|0.304878||||||WC|FO|RT|CLOUDY, WINDY NE WIND 5-10 MPH, COLD, WATER GREEN AND CLOUDY, LOTS OF TRASH ANDDEBRIS IN CREEK
13297165|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||10.2|04/11/2012|10:27|0.2||||||WC|FO|RT|
13770492|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||6.5|06/11/2013|10:15|0.3||||||WC|FO|RT|
10014010|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||6.7|09/27/2006|10:50|0.3||||||WC|FO|RT|
10015012|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||9|03/27/2007|11:25|0.3||||||WC|FO|RT|
10013608|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||12.6|12/13/2006|10:55|0.3||||||WC|FO|RT|
10097348|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||9.6|03/25/2008|10:31|0.3||||||WC|FO|RT|
12318591|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||7.2|06/28/2010|09:57|0.3||||||WC|FO|RT|
12808784|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||8.3|03/16/2011|09:48|0.3||||||WC|FO|RT|
14539406|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||8|09/28/2016|10:29|0.1||||||WC|FO|RT|
P008289|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||9.08|08/03/2004|17:51|0.3||||||PW|PW|TQ|? Days since last significant rainfall; flow severity - no flow
P008221|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||6.98|11/03/2003|12:27|0.3||||||PW|PW|TQ|
2657837|1501|17887|TRES PALACIOS TIDAL 1.4 KM UPSTREAM CONFLUENCE WILSON'S CREEK|00300|OXYGEN, DISSOLVED (MG/L)||2.9|08/03/2004|17:24|3.3||||||PW|PW|TQ|
2657992|1501|17887|TRES PALACIOS TIDAL 1.4 KM UPSTREAM CONFLUENCE WILSON'S CREEK|00300|OXYGEN, DISSOLVED (MG/L)||2.71|11/03/2003|12:50|1.7||||||PW|PW|TQ|
P008172|1501|17887|TRES PALACIOS TIDAL 1.4 KM UPSTREAM CONFLUENCE WILSON'S CREEK|00300|OXYGEN, DISSOLVED (MG/L)||7.47|06/23/2003|14:48|0.3||||||PW|PW|TQ|
L106084|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|00300|OXYGEN, DISSOLVED (MG/L)||3.4|05/08/2012|11:45|0.3||||||LC|LC|RT|
L098148|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|00300|OXYGEN, DISSOLVED (MG/L)||9.4|03/10/2010|09:55|0.3||||||LC|LC|RT|
L099667|1501|20636|TRES PALACIOS RIVER 260 METERS SOUTH AND 90 METERS EAST FROM THE INTERSECTION OF LIVE OAK BOULEVARD AND RIVERSIDE DRIVE|00300|OXYGEN, DISSOLVED (MG/L)||3.1|07/06/2010|12:15|0.3||||||LC|LC|RT|
14520509|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.5|06/16/2016|11:13|1.6||||||WC|FO|RT|
14507325|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||11.5|02/10/2016|12:14|1.7||||||WC|FO|RT|
2613024|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.7|10/18/2004|12:00|1.21951||||||WC|FO|RT|
R222459|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||8.5|12/06/2004|11:14|0.304878||||||WC|FO|RT|CLOUDY, NE WIND 10-15 MPH, COLD, WATER TURBID AND BROWN, MODERATE BRIDGE TRAFFIC
14342005|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||11.3|12/12/2013|11:15|0.75||||||WC|FO|RT|
L064264|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||7.58|05/03/2001|09:57|0.2||||||LC|LC|RT|
L067076|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||6.05|11/26/2001|11:37|0.33||||||LC|LC|RT|
13693421|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||6.9|04/03/2013|11:05|0.3||||||WC|FO|RT|
L085213|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.9|07/17/2006|13:40|0.3||||||LC|LC|RT|
L085468|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.3|11/01/2006|12:20|0.3||||||LC|LC|RT|
10013610|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||10.9|12/13/2006|11:30|0.3||||||WC|FO|RT|
L088975|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.7|07/09/2007|13:35|0.3||||||LC|LC|RT|
L088274|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||10.5|11/01/2007|12:30|0.3||||||LC|LC|RT|
L089475|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||12.2|01/02/2008|12:50|0.3||||||LC|LC|RT|
L094459|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.6|05/05/2009|11:25|0.3||||||LC|LC|RT|
10231849|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||4|06/11/2009|10:30|1.5||||||WC|FO|RT|
12484690|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||3.9|09/23/2010|10:22|0.9||||||WC|FO|RT|
12808788|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||7.1|03/16/2011|10:22|1.4||||||WC|FO|RT|
12663210|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||9.6|12/16/2010|10:43|0.3||||||WC|FO|RT|
12663212|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||7.6|12/16/2010|10:43|1.6||||||WC|FO|RT|
13079712|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5.5|09/28/2011|10:58|0.3||||||WC|FO|RT|
13079713|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||5|09/28/2011|10:58|1.1||||||WC|FO|RT|
12897521|1501|12515|TRES PALACIOS CREEK AT FM 521|00300|OXYGEN, DISSOLVED (MG/L)||6.9|06/01/2011|10:10|0.3||||||WC|FO|RT|
14520511|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||6.8|06/16/2016|10:34|0.13||||||WC|FO|RT|
R194283|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||7.55|03/14/2001|10:00|0.3||||||WC|FO|RT|CLOUDY, APPROACHING T STORMS, COOL, H2O CLEAR GREEN.  NORMAL FLOW.  SW WIND 20-20 MPH.
R202532|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||6.27|06/12/2002|10:19|0.3||||||WC|FO|RT|M. CLOUDY, FEW SHOWERS IN AREA, MUGGY AND WARM. WATER BROWN AND VERY TURBID. TRASH AND DEBRIS IN CREEK
R206848|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||10.57|12/10/2002|11:00|0.3||||||WC|FO|RT|VERY HIGH FLOW, WATER LIGHT BROWN TO GRAY.  OVERCAST, COLD, LIGHT BRIDGE TRAFFIC.
10091820|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||8.7|12/19/2007|10:57|0.3||||||WC|FO|RT|
12897525|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||8.1|06/01/2011|09:40|0.3||||||WC|FO|RT|
14595133|1502|12517|TRES PALACIOS CREEK AT FM 456|00300|OXYGEN, DISSOLVED (MG/L)||10|06/15/2017|11:05|0.2||||||WC|FO|RT|
2657838|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||3.42|08/03/2004|17:51|3.5||||||PW|PW|TQ|
2657729|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||1.55|06/23/2003|13:45|3.4||||||PW|PW|TQ|
2657922|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||4.75|09/22/2003|12:35|2||||||PW|PW|TQ|
2658057|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||6.23|11/08/2004|16:20|1.5||||||PW|PW|TQ|
2658072|1501|15321|TRES PALACIOS TIDAL UPST FM521|00300|OXYGEN, DISSOLVED (MG/L)||6.2|11/08/2004|16:20|3||||||PW|PW|TQ|
